NIS;Provincia;Tipo;Departamento;Dirección;Nombre normalizado;IPv4;Anotaciones;
I2047;U;Server;TELEG CHUBUT - RAWSON;BERNARDO VACCHINA 22;I2047STM001;10.191.67.170;;
I2047;U;Impresora;TELEG CHUBUT - RAWSON;BERNARDO VACCHINA 22;No aplica;10.191.67.36;;
I2052;U;Server;TELEG CHUBUT - ESQUEL;AV ALVEAR 1192;I2052STM001;10.190.69.170;;
I2052;U;Impresora;TELEG CHUBUT - ESQUEL;AV ALVEAR 1192;No aplica;10.190.69.180;;
I2054;U;Server;TELEG CHUBUT - PUERTO MADRYN;GOBERNADOR ALEJANDRO MAIZ 293;I2054STM001;10.190.70.170;;
I2070;X;Server;TELEG CORDOBA;COLÓN 210;I2070STM001;10.220.66.170;;
I2083;X;Server;TELEG CORDOBA - CDD 2;AV JUAN B JUSTO 3948;I2083STM001;10.220.84.170;;
I2083;X;Impresora;TELEG CORDOBA - CDD 2;AV JUAN B JUSTO 3948;No aplica;10.220.84.171;;
I2092;X;Server;TELEG CORDOBA - SAN FRANCISCO;JUAN B ALBERDI 198;I2092STM001;10.220.86.170;;
I2092;X;Impresora;TELEG CORDOBA - SAN FRANCISCO;JUAN B ALBERDI 198;No aplica;10.220.86.171;;
I2105;X;Server;TELEG CORDOBA - BELL VILLE;CORDOBA 599;I2105STM001;10.222.67.170;;
I2105;X;Impresora;TELEG CORDOBA - BELL VILLE;CORDOBA 599;No aplica;10.222.67.171;;
I2143;X;Server;TELEG CORDOBA - VILLA CARLOS PAZ;SAN MARTIN 198;I2143STM001;10.220.72.170;;
I2143;X;Impresora;TELEG CORDOBA - VILLA CARLOS PAZ;SAN MARTIN 198;No aplica;10.220.72.171;;
I2149;X;Server;TELEG CORDOBA - COSQUIN;TUCUMAN 1069;I2149STM001;10.220.73.170;;
I2151;X;Server;TELEG CORDOBA - LA FALDA;AV ARGENTINA 184;I2151STM001;10.220.69.170;;
I2151;X;Impresora;TELEG CORDOBA - LA FALDA;AV ARGENTINA 184;No aplica;10.220.69.171;;
I2160;X;Server;TELEG CORDOBA - ALTA GRACIA;AV LIBERTADOR 577;I2160STM001;10.220.71.170;;
I2160;X;Impresora;TELEG CORDOBA - ALTA GRACIA;AV LIBERTADOR 577;No aplica;10.220.71.171;;
I2163;X;Server;TELEG CORDOBA - STA. ROSA DE CALAMUCHITA;EL NOGAL 170;I2163STM001;10.220.92.170;;
I2163;X;Impresora;TELEG CORDOBA - STA. ROSA DE CALAMUCHITA;EL NOGAL 170;No aplica;10.220.92.171;;
I2170;X;Server;TELEG CORDOBA - JESUS MARIA;SARMIENTO 15;I2170STM001;10.220.68.170;;
I2170;X;Impresora;TELEG CORDOBA - JESUS MARIA;SARMIENTO 15;No aplica;10.220.68.171;;
I2178;X;Server;TELEG CORDOBA - CRUZ DEL EJE;PTE M T DE ALVEAR 403;I2178STM001;10.220.91.170;;
I2185;X;Server;TELEG CORDOBA - RIO CUARTO;GRAL PAZ 624;I2185STM001;10.221.66.170;;
I2185;X;Impresora;TELEG CORDOBA - RIO CUARTO;GRAL PAZ 624;No aplica;10.221.66.171;;
I2205;X;Server;TELEG CORDOBA - RIO TERCERO;INTE DE BUONO 81;I2205STM001;10.220.88.170;;
I2205;X;Impresora;TELEG CORDOBA - RIO TERCERO;INTE DE BUONO 81;No aplica;10.220.88.171;;
I2211;X;Server;TELEG CORDOBA - VILLA DOLORES;ITALIA 299;I2211STM001;10.220.70.170;;
I2211;X;Impresora;TELEG CORDOBA - VILLA DOLORES;ITALIA 299;No aplica;10.220.70.171;;
I2217;X;Server;TELEG CORDOBA - VILLA MARIA;CATAMARCA 1190;I2217STM001;10.222.66.170;;
I2251;X;Server;TELEG CORDOBA - LABOULAYE;AV INDEPENDENCIA 266;I2251STM001;10.220.90.170;;
I2251;X;Impresora;TELEG CORDOBA - LABOULAYE;AV INDEPENDENCIA 266;No aplica;10.220.90.171;;
I2291;X;Server;TELEG CORDOBA - MARCOS JUAREZ;AV L N ALEM 352;I2291STM001;10.222.68.170;;
I2291;X;Impresora;TELEG CORDOBA - MARCOS JUAREZ;AV L N ALEM 352;No aplica;10.222.68.171;;
I2301;W;Server;TELEG CORRIENTES - PASO DE LOS LIBRES;JUAN SITJANIN 998;I2301STM001;10.210.74.170;No responde por WebTeleg ni figura en inventario. Ref: SD0280395 donde se informa que la PC tuvo un problema y por el momento la oficina no está funcionando. Se ha realizado un desvío telegráfico.;
I2313;W;Server;TELEG CORRIENTES;SAN JUAN 1098;I2313STM001;10.210.66.170;;
I2313;W;Impresora;TELEG CORRIENTES;SAN JUAN 1098;No aplica;10.210.66.172;;
I2313;W;Impresora;TELEG CORRIENTES;SAN JUAN 1098;No aplica;10.210.66.175;;
I2326;W;Server;TELEG CORRIENTES - SALADAS;FLORIDA 601;I2326STM001;10.210.70.170;;
I2328;W;Server;TELEG CORRIENTES - BELLA VISTA;CORRIENTES 689;I2328STM001;10.210.76.170;;
I2332;W;Server;TELEG CORRIENTES - GOYA;GRAL M BELGRANO 942;I2332STM001;10.210.67.170;;
I2332;W;Impresora;TELEG CORRIENTES - GOYA;GRAL M BELGRANO 942;No aplica;10.210.67.171;;
I2334;W;Server;TELEG CORRIENTES - CURUZU CUATIA;BERON DE ASTRADA 999;W3460ZAAU0002;10.210.68.170;;
I2337;W;Server;TELEG CORRIENTES - MERCEDES;RIVADAVIA 599;I2337STM001;10.210.69.170;;
I2337;W;Impresora;TELEG CORRIENTES - MERCEDES;RIVADAVIA 599;No aplica;10.210.69.180;;
