Listado de máquinas  excluídas CTT BAIRES A CF (I9801) CTT INTERIOR CF (I9803), Telefonogramas (I1492-I6900) y OPT (I0011-I0110);Region;provincia;Funcion equipo en STS;Server;Clie;Imp;Total de PC;Total de Impresoras;tipo server;Nombre del equipo;Direccion IP;Codigo STS;Observaciones
LA PLATA TELECOMUNICACIONES BA;02 PBA_LA PAMPA;B;Serv;S;;;3;1;JP;B1902ZAAu0007;10.20.66.170;I1163;en ed Cabecera a/c tecnológico local
LA PLATA TELECOMUNICACIONES BA;02 PBA_LA PAMPA;B;Klie;;C;;;;JP;I1163STM002;10.20.66.173;I1163;ex I1163 pasaron algunas a CDD zona LPG x tx a I9803 Ctt interior (ver) 
LA PLATA TELECOMUNICACIONES BA;02 PBA_LA PAMPA;B;Klie;;C;;;;JP;B1902ZAAu0011;10.20.66.174;I1163;ex I1163 x cierre CTT LA PLATA AUTORIZO RRHH REG PBA_LP
LA PLATA TELECOMUNICACIONES BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.20.66.178;I1163;
LA PLATA TELECOMUNICACIONES1 BA;02 PBA_LA PAMPA;B;Serv;S;;;3;;JP;B1902ZAAu0012;10.20.66.175;I6054;3 TERMINALES RENOMBRADAS EN CDD,S PARA TX DEPENDEN CTT BAIRES 
LA PLATA TELECOMUNICACIONES1 BA;02 PBA_LA PAMPA;B;Klie;;C;;;;JP;B1902ZAAu0008;10.20.66.171;I6054;cdd 2 lpg Fernando Falcon 0221-6769733 ver con Hernan Grazulis
LA PLATA TELECOMUNICACIONES1 BA;02 PBA_LA PAMPA;B;Klie;;C;;;;JP;B1902ZAAu0013;10.20.66.176;I6054;cdd 2 lpg Joaquin Lugo 0221-2201503
LA PLATA TELECOMUNICACIONES1 BA;02 PBA_LA PAMPA;B;Klie;;C;;;;JP;I1163STM004;10.20.66.177;I6054;Cdd 4 lpg Ivan Wendel 0221-6079726
LA QUIACA J;04 CUYO NOA;Y;Serv;S;;;1;1;JP;I2473STM001;10.230.73.170;I2473;Y4650ZAAS0001
LA QUIACA J;04 CUYO NOA;Y;Imp;;;I;;;JP; ;10.230.73.171;I2473;
LABOULAYE CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2251STM001;10.220.90.170;I2251;X6120ZAAW0001
LABOULAYE CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.90.171;I2251;
LAS HERAS MZA;04 CUYO NOA;M;Serv;S;;;1;1;JP;I2610STM001;10.120.66.4;I2610;M5540ZAAW0001 ip anterior 10.120.69.171
LAS HERAS MZA;04 CUYO NOA;M;Imp;;;I;;;JP;;10.120.66.xx;I2610;
LAS HERAS SC;06 SUR;Z;Serv;S;;;1;1;JP;Z9017ZAAu0070;10.240.74.170;I2834;
LAS HERAS SC;06 SUR;Z;Imp;;;I;;;JP;;10.240.74.171;I2834;
LIBERTADOR GENERAL SAN MARTIN J;04 CUYO NOA;Y;Serv;S;;;1;1;JP;I2444STM001;10.230.69.170;I2444;Y4512ZAAS0001
LIBERTADOR GENERAL SAN MARTIN J;04 CUYO NOA;Y;Imp;;;I;;;JP;;10.230.69.171;I2444;
LONGCHAMPS BA;METRO_Z8;B;Serv;S;;;1;1;JP;I1132STM001;10.245.102.170;I1132;B1854FCIW0001
LONGCHAMPS BA;METRO_Z8;B;Imp;;;I;;;JP; ;10.245.102.171;I1132;
LOS POLVORINES BA;METRO_Z5;B;Serv;S;;;1;1;JP;B1613AVKu0001;10.245.101.170;I3164;
LOS POLVORINES BA;METRO_Z5;B;Imp;;;I;;;JP; ;10.245.101.172;I3164;
LUJAN BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1295STM001;10.26.60.170;I1295;B6700ZAAS0001
LUJAN BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.60.171;I1295;
LUJAN DE CUYO MZA;04 CUYO NOA;M;Serv;S;;;1;1;JP;I2586STM001;10.120.75.170;I2586;M5507ZAAW0001
LUJAN DE CUYO MZA;04 CUYO NOA;M;Imp;;;I;;;JP;;10.120.75.171;I2586;
MAIPU MZA;04 CUYO NOA;M;Serv;S;;;1;1;JP;I2590STM001;10.120.70.170;I2590;M5515ZAAW0001
MAIPU MZA;04 CUYO NOA;M;Imp;;;I;;;JP;;10.120.70.171;I2590;
MAR DE AJO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;B7109ZAAu0001;10.26.27.170;I1318;Opera como mixta x cierre local en sitio SAN BERNARDO DEL TUYU BA (03/03/2025)
MAR DE AJO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.27.171;I1318;
MAR DEL PLATA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1363STM001;10.22.66.170;I1363;B7600ZAHW0001 mail Cdd 01 Mar del Plata
MAR DEL PLATA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.22.66.177;I1363;
MARCOS JUAREZ CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;X2580ZAAu0001;10.222.68.170;I2291;
MARCOS JUAREZ CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.222.68.171;I2291;
MENDOZA MZA;04 CUYO NOA;M;Serv;S;;;3;1;JP;M5500ZALu0001;10.120.66.170;I2551;mail cdd 01 Mendoza
MENDOZA MZA;04 CUYO NOA;M;Klie;;C;;;;JP;M5500ZALu0002;10.120.66.171;I2551;
MENDOZA MZA;04 CUYO NOA;M;Klie;;C;;;;JP;M5500ZALu0003;10.120.66.172;I2551;
MENDOZA MZA;04 CUYO NOA;M;Imp;;;I;;;JP;;10.120.66.173;I2551;
MERCEDES BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1277STM001;10.23.66.170;I1277;B6600ZAAS0002
MERCEDES BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.23.66.172;I1277;
MERCEDES CTS;03 CENTRO NEA;W;Serv;S;;;1;1;JP;I2337STM001;10.210.69.170;I2337;W3470ZAAW0002
MERCEDES CTS;03 CENTRO NEA;W;Imp;;;I;;;JP;;10.210.69.171;I2337;
MERCEDES SL;04 CUYO NOA;D;Serv;S;;;1;1;JP;I2807STM001;10.41.66.170;I2807;D5732ZAAW0001
MERCEDES SL;04 CUYO NOA;D;Imp;;;I;;;JP;;10.41.66.171;I2807;
METAN S;04 CUYO NOA;A;Serv;S;;;1;1;JP;I2742STM001;10.10.69.170;I2742;A4440ZAAS0001
METAN S;04 CUYO NOA;A;Imp;;;I;;;JP; ;10.10.69.171;I2742;
MIRAMAR BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1373STM001;10.26.62.170;I1373;B7607ZAAW0001
MIRAMAR BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.62.171;I1373;
MONTE GRANDE BA;METRO_Z8;B;Serv;S;;;1;1;JP;B1842ZABu0001;10.245.64.170;I1123;dell optiplex 330
MONTE GRANDE BA;METRO_Z8;B;Imp;;;I;;;JP;;10.245.64.171;I1123;
MORENO-COM BA;METRO_Z6;B;Serv;S;;;1;;JP;I7147STM001;10.245.110.170;I7147;ALTA POR MUDANZA CDD A CLOG (PARA PCE EN COMERCIAL)
MORENO-COM BA;METRO_Z6;B;imp;;;1;1;;JP;;;I7147;
NECOCHEA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1377STM001;10.26.63.170;I1377;B7630ZAAW0001
NECOCHEA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.63.171;I1377;
NEUQUEN N;06 SUR;Q;Serv;S;;;1;1;JP;Q8300ZAAu0070;10.150.66.170;I2659;mail cdd Neuquen Jefatura cdd neuquen supervisión
NEUQUEN N;06 SUR;Q;Imp;;;I;;;JP;;10.150.66.175;I2659;
NEUQUEN V N;06 SUR;Q;Serv;S;;;1;1;JP;Q8300ZAAu0073;10.150.66.173;I6007;
NEUQUEN V N;06 SUR;Q;Imp;;;I;;;JP;;10.150.66.174;I6007;
NOGOYA ER;03 CENTRO NEA;E;Serv;S;;;1;1;JP;I2387STM001;10.50.70.170;I2387;E3150ZAAW0001
NOGOYA ER;03 CENTRO NEA;E;Imp;;;I;;;JP;;10.50.70.171;I2387;
OBERA MS;03 CENTRO NEA;N;Serv;S;;;1;1;JP;I2629STM001;10.130.68.170;I2629;N3360ZAAW0002
OBERA MS;03 CENTRO NEA;N;Imp;;;I;;;JP;;10.130.68.171;I2629;
OLAVARRIA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1347STM001;10.26.3.170;I1347;B7400ZAAW0001
OLAVARRIA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.3.171;I1347;
PARANA ER;03 CENTRO NEA;E;Serv;S;;;1;1;JP;I2412STM002;10.50.66.170;I2412;E3100ZAFW0001
PARANA ER;03 CENTRO NEA;E;Imp;;;I;;;JP;;10.50.66.174;I2412;
PASO DE LOS LIBRES CTS;03 CENTRO NEA;W;Serv;S;;;1;1;JP;I2301STM001;10.210.74.170;I2301;W3230ZAAW0002
PASO DE LOS LIBRES CTS;03 CENTRO NEA;W;Imp;;;I;;;JP;;10.210.74.171;I2301;
PEHUAJO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1254STM001;10.26.15.173;I1254;B6450ZAAW0001
PEHUAJO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.15.171;I1254;
PERGAMINO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1186STM001;10.26.64.170;I1186;B2700ZAAW0010
PERGAMINO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.64.173;I1186;
PICO TRUNCADO SC;06 SUR;Z;Serv;S;;;1;1;JP;I2833STM001;10.240.68.170;I2833;Z9015ZAAW0070
PICO TRUNCADO SC;06 SUR;Z;Imp;;;I;;;JP;;10.240.68.171;I2833;
PILAR CDD BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;B1629ZAAu0001;10.26.37.170;I1019;
PILAR CDD BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.37.171;I1019;
PINAMAR BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1330STM001;10.26.20.170;I1330;B7167ZAAW0001
PINAMAR BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.20.171;I1330;
POSADAS MS;03 CENTRO NEA;N;Serv;S;;;1;1;JP;I2613STM001;10.130.66.170;I2613;N3300ZAAW0038
POSADAS MS;03 CENTRO NEA;N;Imp;;;I;;;JP;;10.130.66.173;I2613;
PRESIDENCIA ROQUE SAENZ PEÑA CHO;03 CENTRO NEA;H;Serv;S;;;1;1;JP;I2020STM001;10.80.67.170;I2020;H3700ZAAW0002
PRESIDENCIA ROQUE SAENZ PEÑA CHO;03 CENTRO NEA;H;Imp;;;I;;;JP;;10.80.67.171;I2020; 
PUERTO DESEADO SC;06 SUR;Z;Serv;S;;;1;1;JP;I2837STM001;10.149.241.170;I2837;Z9050ZAAW0070
PUERTO DESEADO SC;06 SUR;Z;Imp;;;I;;;JP;;10.149.241.171;I2837;
PUERTO MADRYN CHT;06 SUR;U;Serv;S;;;1;1;JP;I2054STM001;10.190.70.170;I2054;U9120ZAAW0070
PUERTO MADRYN CHT;06 SUR;U;Imp;;;I;;;JP;;10.190.70.171;I2054;
PUERTO SAN JULIAN SC;06 SUR;Z;Serv;S;;;1;1;JP;Z9310ZAAu0070;10.240.75.170;I2840;cambio ip 5/6/17 10.149.244.170
PUERTO SAN JULIAN SC;06 SUR;Z;Imp;;;I;;;JP; ;10.240.75.171;I2840;
PUESTO DE CORRECCION;08 OPERACIONES TELEGRAFICAS;C;Corr;S;;;;;OC;C1000ZAAW0107;10.30.136.224;CORR1;en sitio ctt  Baires ed av san juan
PUESTO DE CORRECCION 2;08 OPERACIONES TELEGRAFICAS;C;Corr;S;;;;;OC;C1000ZAAW0108;10.30.136.225;CORR3;en sitio ctt  Baires ed av san juan
PUNTA ALTA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I3163STM001;10.26.16.170;I3163;B8109ZAAS0001
PUNTA ALTA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.16.171;I3163;
RAFAELA SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2924STM001;10.170.95.170;I2924;S2300ZAAW0002
RAFAELA SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.95.171;I2924;
RAWSON CHT;06 SUR;U;Serv;S;;;1;1;JP;I2047STM001;10.191.67.170;I2047;U9103ZAAW0070
RAWSON CHT;06 SUR;U;Imp;;;I;;;JP;;10.191.67.171;I2047;
RECONQUISTA SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I3037STM001;10.170.96.170;I3037;S3560ZAAW0002
RECONQUISTA SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.96.171;I3037;
RESISTENCIA CHO;03 CENTRO NEA;H;Serv;S;;;1;1;JP;I2003STM002;10.80.66.170;I2003;H3500ZAAW0037
RESISTENCIA CHO;03 CENTRO NEA;H;Imp;;;I;;;JP;;10.80.66.174;I2003;
RINCON DE LOS SAUCES-CDD N;06 SUR;Q;Serv;S;;;;;JP;Q8319ZAAU0002;10.150.70.23;I6284;
RINCON DE LOS SAUCES-CDD N;06 SUR;Q;Imp;;;I;;;JP;;10.150.70.24;I6284;
RIO CUARTO CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP; I2185stm001;10.221.66.170;I2185;X5800ZABW0001 reemplazado
RIO CUARTO CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.221.66.173;I2185;
RIO GALLEGOS SC;06 SUR;Z;Serv;S;;;1;1;JP;I2842STM001;10.240.66.170;I2842;Z9400ZAAW0070
RIO GALLEGOS SC;06 SUR;Z;Imp;;;I;;;JP;;10.240.66.172;I2842;
RIO GALLEGOS-CDD SC;#N/D;#N/D;Serv;S;;;1;1;#N/D;Z9400ZAAW006;sin habilitar;I6250;sin habilitar
RIO GALLEGOS-CDD SC;#N/D;#N/D;Imp;;;I;;;#N/D;;sin habilitar;I6250;sin habilitar
RIO GRANDE TFAIAS;06 SUR;V;Serv;S;;;1;1;JP;I3109STM001;10.200.67.170;I3109;V9402ZAAW0070
RIO GRANDE TFAIAS;06 SUR;V;Imp;;;I;;;JP;;10.200.67.171;I3109;
RIO TERCERO CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2205STM001;10.220.88.170;I2205;X5850ZAAW0001
RIO TERCERO CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.88.171;I2205;
RIO TURBIO SC;06 SUR;Z;Serv;S;;;1;1;JP;Z9407ZAAu0070;10.240.72.170;I2845;
RIO TURBIO SC;06 SUR;Z;Imp;;;I;;;JP; ;10.240.72.171;I2845;
RODEO DE LA CRUZ-CDD MZA;05 OESTE;M;Serv;S;;;1;1;JP;M5525ZAAU0001;10.120.80.170;I6290;
RODEO DE LA CRUZ-CDD MZA;05 OESTE;M;Imp;;;I;;;JP;;10.120.80.171;I6290;
ROSARIO  SF;03 CENTRO NEA;S;Serv;S;;;3;1;JP;S2000ZAIu0001;10.170.66.170;I2854;mail cdd 01 Rosario (ed casa central)
ROSARIO  SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0003;10.170.66.172;I2854;
ROSARIO  SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0005;10.170.66.174;I2854;
ROSARIO  SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.66.175;I2854;
ROSARIO V SF;03 CENTRO NEA;S;Serv;;C;;;;JP;I6447STM001;10.170.66.202;I6447;ALTA 14/03/2018 EXCLUSIVA PARA ENTREGA TG EN VENTANILLA POR PCE
ROSARIO V SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.66.203;I6447;
ROSARIO DEL TALA ER;03 CENTRO NEA;E;Serv;S;;;1;1;JP;I2361STM001;10.50.69.170;I2361;E3174ZAAW0001
ROSARIO DEL TALA ER;03 CENTRO NEA;E;Imp;;;I;;;JP;;10.50.69.171;I2361;
ROSARIO1 SF;03 CENTRO NEA;S;Serv;S;;;5;1;JP;I3916STM001;10.170.66.176;I3916;CTT ROSARIO
ROSARIO1 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0002;10.170.66.171;I3916;CTT ROSARIO
ROSARIO1 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0004;10.170.66.173;I3916;CTT ROSARIO
ROSARIO1 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0007;10.170.66.177;I3916;CTT ROSARIO
ROSARIO1 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0016;10.170.66.198;I3916;CTT ROSARIO
ROSARIO1 SF;03 CENTRO NEA;S;Imp;;;I; ; ;JP;;10.170.66.181;I3916;CTT ROSARIO
ROSARIO2 SF;03 CENTRO NEA;S;Serv;S;;;5;;JP;S2000ZAIu0008;10.170.66.178;I6010;CTT ROSARIO
ROSARIO2 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0009;10.170.66.179;I6010;CTT ROSARIO
ROSARIO2 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0010;10.170.66.180;I6010;CTT ROSARIO
ROSARIO2 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0014;10.170.66.186;I6010;CTT ROSARIO
ROSARIO2 SF;03 CENTRO NEA;S;Klie;;C;;;;JP;S2000ZAIu0015;10.170.66.187;I6010;CTT ROSARIO
RUFINO SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;S6100ZAAu0001;10.170.98.170;I3044;
RUFINO SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.98.171;I3044;
SALADAS CTS;03 CENTRO NEA;W;Serv;S;;;1;1;JP;I2326STM001;10.210.70.170;I2326;W3420ZAAW0002
SALADAS CTS;03 CENTRO NEA;W;Imp;;;I;;;JP;;10.210.70.171;I2326;
SALADILLO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1340STM001;10.26.56.170;I1340;B7260ZAAS0001
SALADILLO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.56.171;I1340;
SALON COMERCIAL CASA CENTRAL CF;14 METRO CENTRO NORTE;C;Serv;S;;;1;1;JP;C1000ZAAu1455;10.30.150.40;I5586;EXCLUSIVA PARA ENTREGA TG EN VENTANILLA POR PCE SUC CENTRO CF
SALON COMERCIAL CASA CENTRAL CF;14 METRO CENTRO NORTE;C;Imp;;;I;;;JP;;10.30.150.31;I5586;
SALTA S;04 CUYO NOA;A;Serv;S;;;3;;JP;I2725STM001;10.10.66.170;I2725;CDD SALTA (TIENE CLIENTES QUE SE LOGUEAN A i9803 X TX STS IMÁGENES)
SALTA S;04 CUYO NOA;A;Klie;;C;;;;JP;ttaab09p;10.10.66.169;I2725;CDD SALTA (TIENE CLIENTES QUE SE LOGUEAN A i9803 X TX STS IMÁGENES)
SALTA S;04 CUYO NOA;A;Klie;;C;;;;JP;i2725stm003;10.10.66.173;I2725;CDD SALTA (TIENE CLIENTES QUE SE LOGUEAN A i9803 X TX STS IMÁGENES)
SALTA S;04 CUYO NOA;A;Imp;;;1;;;JP; ;10.10.66.140;I2725;CDD SALTA (TIENE CLIENTES QUE SE LOGUEAN A i9803 X TX STS IMÁGENES)
SAN ANTONIO OESTE RN;06 SUR;R;Serv;S;;;1;1;JP;I2712STM001;10.160.71.170;I2712;R8520ZAAW0070
SAN ANTONIO OESTE RN;06 SUR;R;Imp;;;I;;;JP;;10.160.71.171;I2712;
SAN CARLOS DE BARILOCHE RN;06 SUR;R;Serv;S;;;1;1;JP;I2700STM001;10.160.73.170;I2700;R8400ZAAW0070
SAN CARLOS DE BARILOCHE RN;06 SUR;R;Imp;;;I;;;JP;;10.160.73.171;I2700;
SAN CLEMENTE DEL TUYU BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;B7105ZAAU0001;10.26.28.170;I1313;
SAN CLEMENTE DEL TUYU BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.28.171;I1313;
SAN FRANCISCO CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2092STM001;10.220.86.170;I2092;X2400ZAAW0001
SAN FRANCISCO CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.86.171;I2092;
SAN ISIDRO BA;METRO_Z5;B;Serv;S;;;1;1;JP;B1642ZABu0001;10.138.66.170;I1029;
SAN ISIDRO BA;METRO_Z5;B;Imp;;;I;;;JP;;10.138.66.172;I1029;
SAN JOSE DE GUAYMALLEN-CDD MZA;04 CUYO NOA;M;Serv;S;;;1;1;JP;I6224STM001;10.120.66.19;I6224;M5526BEJW0001
SAN JOSE DE GUAYMALLEN-CDD MZA;04 CUYO NOA;M;Imp;;;I;;;JP;;10.120.66.25;I6224;
SAN JUAN V SJ;04 CUYO NOA;J;Serv;S;;;1;1;JP;I2768STM001;10.90.66.170;I2768;J5402ZABW0001 - CAMBIO IP 78/01/2004
SAN JUAN V SJ;04 CUYO NOA;J;Imp;;;I;;;JP;;10.90.66.175;I2768;CAMBIO IP 78/01/2004
SAN LORENZO SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2906STM001;10.170.85.170;I2906;S2200ZAAW0001
SAN LORENZO SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.85.171;I2906;
SAN LUIS V SL;04 CUYO NOA;D;Serv;S;;;1;1;JP;I2799STM001;10.40.66.170;I2799;D5702ZACW0001
SAN LUIS V SL;04 CUYO NOA;D;Imp;;;I;;;JP;;10.40.66.174;I2799;
SAN MARTIN DE LOS ANDES N;06 SUR;Q;Serv;S;;;1;1;JP;I2674STM001;10.150.71.170;I2674;Q8370ZAAW0070
SAN MARTIN DE LOS ANDES N;06 SUR;Q;Imp;;;I;;;JP;;10.150.71.171;I2674;
SAN MIGUEL BA;METRO_Z6;B;Serv;S;;;1;1;JP;B1663NMBu0001;10.245.87.170;I1042;
SAN MIGUEL BA;METRO_Z6;B;Imp;;;I;;;JP; ;10.245.87.172;I1042;
SAN NICOLAS BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1201STM001;10.26.36.170;I1201;B2900ZAAW0001
SAN NICOLAS BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.36.171;I1201;
SAN PEDRO CDD BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I6206STM001;10.26.31.160;I6206;B2930INBW0001
SAN PEDRO CDD BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.31.171;I6206;
SAN PEDRO J;04 CUYO NOA;Y;Serv;S;;;1;1;JP;I2442STM001;10.230.70.170;I2442;Y4500ZAAS0001
SAN PEDRO J;04 CUYO NOA;Y;Imp;;;I;;;JP; ;10.230.70.171;I2442;
SAN RAFAEL MZA;04 CUYO NOA;M;Serv;S;;;1;1;JP;I2573STM001;10.120.81.170;I2573;M5600ZAAW0001
SAN RAFAEL MZA;04 CUYO NOA;M;Imp;;;I;;;JP;;10.120.81.171;I2573;
SAN RAMON DE LA NUEVA ORAN S;04 CUYO NOA;A;Serv;S;;;1;1;JP;I2747STM001;10.230.71.170;I2747;A4503ZAAS0001
SAN RAMON DE LA NUEVA ORAN S;04 CUYO NOA;A;Imp;;;I;;;JP; ;10.230.71.171;I2747;
SAN SALVADOR DE JUJUY J;04 CUYO NOA;Y;Serv;S;;;1;1;JP;I2450STM001;10.230.71.170;I2450;Y4600ZAAS0002
SAN SALVADOR DE JUJUY J;04 CUYO NOA;Y;Imp;;;I;;;JP; ;10.230.71.173;I2450;
SANTA MARIA C;04 CUYO NOA;K;Serv;S;;;1;1;JP;I1963STM001;10.100.67.170;I1963;K4011ZAAW0001
SANTA MARIA C;04 CUYO NOA;K;Imp;;;I;;;JP;;10.100.67.171;I1963;
SANTA ROSA DE CALAMUCHITA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2163STM001;10.220.92.170;I2163;X5196ZAAW0001
SANTA ROSA DE CALAMUCHITA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.92.171;I2163;
SANTA ROSA LP;02 PBA_LA PAMPA;L;Serv;S;;;1;1;JP;I2484STM001;10.110.66.170;I2484;L6300ZAAW0070
SANTA ROSA LP;02 PBA_LA PAMPA;L;Imp;;;I;;;JP;;10.110.66.173;I2484;
SANTA TERESITA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1315STM001;10.26.22.170;I1315;B7107ZAAW0001
SANTA TERESITA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.22.171;I1315;
SANTIAGO DEL ESTERO SE;04 CUYO NOA;G;Serv;S;;;2;1;JP;I3070STM001;10.70.66.170;I3070;G4200ZAAW0027 - ¿tk 74689?
SANTIAGO DEL ESTERO SE;04 CUYO NOA;G;klie;;C;;;;JP;I3070STM002;10.70.66.172;I3070;
SANTIAGO DEL ESTERO SE;04 CUYO NOA;G;Imp;;;I;;;JP;;10.70.66.173;I3070;
SANTO TOME SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I3007STM001;10.171.87.170;I3007;S3341ZAAW0001
SANTO TOME SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.171.87.171;I3007;
SARMIENTO CHT;06 SUR;U;Serv;S;;;1;1;JP;I2041STM001;10.190.67.170;I2041;U9020ZAAW0070
SARMIENTO CHT;06 SUR;U;Imp;;;I;;;JP;;10.190.67.171;I2041;
SISTEMA DE GIROS Y TRANSFERENCIA CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;2;;OG;B1842ZACS0227;10.1.12.248;I5878;cambio nombre e IP 4/jul/2012 / ultimo cambio ip y nombre 17-7-24 -EN DATA CENTER
SISTEMA DE GIROS Y TRANSFERENCIA CF;08 OPERACIONES TELEGRAFICAS;C;Klie;;C;;;;OG;;10.30.136.230;I5878;baja C1148ZABW0005 reemplazado con cliente en I0210 como monitoreo  en OPT bja seriales I5878
SIT 1 CORREO CENTRAL CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;;OS;C1000ZAAW0534;10.30.136.232;I1485;en sitio ctt  Baires ed av san juan Hernan Grazulis
SIT 2 CORREO CENTRAL CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;;OS;C1000ZAAW0511;10.30.136.233;I1486;en sitio ctt  Baires ed av san juan
SIT 2 CORREO CENTRAL CF;08 OPERACIONES TELEGRAFICAS;C;Imp;;;I;;1;OS;B1842ZACWS0162;10.30.136.8;I1486;hp 4050
SIT 3 CORREO CENTRAL CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;;OS;b1842zacs0162;10.1.10.154;I1487;ex C1000ZAAW0537 10.30.136.234 SERVER EN MGRANDE - DATA CENTER
SIT 4 CORREO CENTRAL CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;;OS;C1148ZABW0204;10.30.136.97;I6088;en sitio ctt  Baires ed av san juan
SIT 5 CORREO CENTRAL CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;;OS;B1842ZACW0346;10.30.136.26;I6905;en sitio ctt  Baires ed av san juan
