Listado de máquinas  excluídas CTT BAIRES A CF (I9801) CTT INTERIOR CF (I9803), Telefonogramas (I1492-I6900) y OPT (I0011-I0110);Region;provincia;Funcion equipo en STS;Server;Clie;Imp;Total de PC;Total de Impresoras;tipo server;Nombre del equipo;Direccion IP;Codigo STS;Observaciones
CDD 1 LA PLATA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1164STM001;10.20.68.170;I1164;B1908ZAAW0001
CDD 1 LA PLATA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.20.68.171;I1164;
CDD 10 CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;;;JP;I6199STM001;10.220.77.170;I6199;X5021JLL0001 -DE Cordoba2 PARA cdd 10 cordoba ticket ST211382
CDD 10 CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;1;1;JP;;10.220.77.171;I6199;
CDD 12 BAIRES CF;METRO_Z2;C;Serv;S;;;1;1;JP;C1118zabu0001;10.30.88.170;I1913;
CDD 12 BAIRES CF;METRO_Z2;C;Imp;;;I;;;JP;;10.30.88.172;I1913;
CDD 13 BAIRES CF;METRO_Z3;C;Serv;S;;;1;1;JP;C1194ZACu0001;10.30.89.170;I1914;
CDD 13 BAIRES CF;METRO_Z3;C;Imp;;;I;;;JP;;10.30.89.173;I1914;
CDD 16 BAIRES CF;METRO_Z2;C;Serv;S;;;1;1;JP;I1916STM001;10.30.75.170;I1916;C1416ZACW0001
CDD 16 BAIRES CF;METRO_Z2;C;Imp;;;I;;;JP;;10.30.75.172;I1916;
CDD 17 BAIRES CF;METRO_Z2;C;Serv;S;;;1;1;JP;C0017ZAAu0001;10.30.110.170;I6028;
CDD 17 BAIRES CF;METRO_Z2;C;Imp;;;I;;;JP;;10.30.110.171;I6028;
CDD 2 BAHIA BLANCA BA;#N/D;#N/D;Serv;S;;;1;1;#N/D;B8001BXOW0001;sin habilitar;I6251;sin habilitar
CDD 2 BAHIA BLANCA BA;#N/D;#N/D;Imp;;;I;;;#N/D;;10.26.26.171;I6251;sin habilitar
CDD 2 CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2083STM001;10.220.84.170;I2083;X5022CGTW0001
CDD 2 CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.84.171;I2083;
CDD 2 LA PLATA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1165STM001;10.20.69.173;I1165;B1906ZAAW0001
CDD 2 LA PLATA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.20.69.171;I1165;
CDD 2 MAR DEL PLATA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1366STM001;10.22.69.170;I1366;B7604ZABW0001
CDD 2 MAR DEL PLATA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.22.69.171;I1366;
CDD 2 ROSARIO SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2863STM001;10.170.78.170;I2863;S2005ZAAW0001
CDD 2 ROSARIO SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.78.171;I2863;
CDD 2 SANTA FE SF;04 ESTE;S;SERVER;S;;;1;1;JP;I6807STM001;10.171.73.170;I6807;EX I2997
CDD 2 SANTA FE SF;04 ESTE;S;imp;;;I;;1;JP;;10.171.73.174;I6807;
CDD 23 BAIRES CF;METRO_Z3;C;Serv;S;;;1;1;JP;I1922STM001;10.30.23.170;I1922;C1233ZAAu0001 reemplazado 23/12/16
CDD 23 BAIRES CF;METRO_Z3;C;Imp;;;I;;;JP;;10.30.23.172;I1922;
CDD 24 BAIRES CF;METRO_Z2;C;Serv;S;;;1;1;JP;I1923STM001;10.30.98.170;I1923;C1424CISW0001
CDD 24 BAIRES CF;METRO_Z2;C;Imp;;;I;;;JP; ;10.30.98.171;I1923;
CDD 27 BAIRES CF;METRO_Z4;C;Serv;S;;;1;1;JP;C1428ZABu0002;10.30.61.171;I6029;ex cliente cdd 28
CDD 27 BAIRES CF;METRO_Z4;C;Imp;;;I;;;JP; ;10.30.61.173;I6029;
CDD 28 BAIRES CF;METRO_Z4;C;Serv;S;;;1;1;JP;C1428ZABu0001;10.30.90.170;I1464;
CDD 28 BAIRES CF;METRO_Z4;C;Imp;;;I;;;JP; ;10.30.90.150;I1464;
CDD 3 BAHIA BLANCA BA;#N/D;#N/D;Serv;S;;;1;1;#N/D;;sin habilitar;I6253;sin habilitar
CDD 3 BAHIA BLANCA BA;#N/D;#N/D;Imp;;;I;;;#N/D;;sin habilitar;I6253;sin habilitar
CDD 3 MAR DEL PLATA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I6091STM001;10.22.71.170;I6091;B7600ZAHW0002
CDD 3 MAR DEL PLATA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.22.71.3;I6091;
CDD 3 ROSARIO SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2864STM001;10.170.79.170;I2864;S2011ZAAW0002
CDD 3 ROSARIO SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.79.172;I2864;
CDD 30 BAIRES CF;METRO_Z4;C;Serv;S;;;1;1;JP;C1430ZAAu0001;10.30.105.170;I1929;
CDD 30 BAIRES CF;METRO_Z4;C;Imp;;;I;;;JP;;10.30.105.171;I1929;
CDD 33 BAIRES CF;METRO_Z1;C;Serv;S;;;1;1;JP;B1842ZACu1394;10.30.136.213;I1932;rehab
CDD 33 BAIRES CF;METRO_Z1;C;Imp;;;I;;;JP;;10.30.136.211;I1932;
CDD 34 BAIRES CF;METRO_Z1;C;Serv;S;;;2;1;JP;c1075zaaU0001;10.30.136.204;I5928;ubuntu desde 11/06/2009
CDD 34 BAIRES CF;METRO_Z1;C;Klie;;C;;;;JP;c1075zaaU0002;10.30.138.23;I5928;ubuntu desde 11/06/2009
CDD 34 BAIRES CF;METRO_Z1;C;Imp;;;I;;;JP;;10.30.138.2;I5928;
CDD 37 BAIRES CF;METRO_Z3;C;Serv;S;;;1;1;JP;I1935STM001;10.30.112.170;I1935;C1437DNHW0001
CDD 37 BAIRES CF;METRO_Z3;C;Imp;;;I;;;JP; ;10.30.85.172;I1935;
CDD 39 BAIRES CF;METRO_Z3;C;Serv;S;;;1;1;JP;I1465STM001;10.30.74.180;I1465;C1439ZABW0001
CDD 39 BAIRES CF;METRO_Z3;C;Imp;;;I;;;JP;;10.30.93.171;I1465;
CDD 4 CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I3157STM001;10.220.85.170;I3157;X5014AUEW0001
CDD 4 CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.85.171;I3157;
CDD 4 LA PLATA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I5924STM001;10.20.80.170;I5924;B1900ZAAW0102 - rehab - mudanza
CDD 4 LA PLATA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.20.80.171;I5924;
CDD 4 ROSARIO SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2870STM001;10.170.81.170;I2870;S2011ZAAW0004
CDD 4 ROSARIO SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.81.172;I2870;
CDD 40 BAIRES CF;METRO_Z3;C;Serv;S;;;1;1;JP;C1440ZAAu0001;10.30.74.170;I1938;
CDD 40 BAIRES CF;METRO_Z3;C;Imp;;;I;;;JP;;10.30.74.172;I1938;
